Vereador(a),Ano,Processo,Emenda,Objeto,Forma de Execução,Beneficiário,Diretoria,Valor da Emenda,Valor Empenhado,Valor Pago,Percentual do Valor empenhado pago,Situação,Observação
ALAN BRANDÃO,2025,00046.002709/2024-63,1/2025,Fortalecimento da ASSISTÊNCIA FARMACÊUTICA no âmbito da Atenção Primária em Saúde (UBS),DIRETA,FMS,DAB,"R$ 445.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Sem liberação de cota orçamentária
ALAN BRANDÃO,2025,00046.002766/2024-76,2/2025,Fortalecimento da ASSISTÊNCIA FARMACÊUTICA no âmbito da Atenção Primária em Saúde (UBS),DIRETA,FMS,DAB,"R$ 445.500,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Sem liberação de cota orçamentária
ALAN BRANDÃO,2025,00046.002765/2024-06,3/2025,Fortalecimento da ASSISTÊNCIA FARMACÊUTICA no âmbito da Atenção Primária em Saúde (UBS),DIRETA,FMS,DAB,"R$ 445.500,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Sem liberação de cota orçamentária
ALUÍSIO SAMPAIO,2025,00046.002759/2024-71,9/2025,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. Realização de mutirão Oftalmológico para atender a população de Teresina com consultas, exames e cirurgias.",DIRETA,FMS,DRCAA,"R$ 1.334.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Objeto mudado em 15/12/2026.
ALUÍSIO SAMPAIO,2026,00046.009362/2025-73,1/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. Realização do Ação Pela Visão tem o intuito de atender a população com consultas, exames e cirurgias, relacionados a deficiência visual.",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 1.507.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,Não enviada para FMS
ANA FIDELIS,2026,00046.009372/2025-94,1/2026,Aquisição de Equipamentos para Atenção Especializada (UPAS/Hospitais/Maternidades/CAPS). HOSPITAL DO BUENOS AIRES - UPA RENASCENÇA- UBS IRMÃ DULCE- UBS CAMPESTRE,DIRETA,FMS,DAE,"R$ 1.507.000,00","R$ 0,00","R$ 0,00","0,00%",Validada,Processo está na DPLAN Atualizando Plano de Trabalho
BRUNO VILARINHO,2025,00046.002763/2024-60,4/2025,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro.",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 600.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,Impedida em 15/12/2026
BRUNO VILARINHO,2025,00046.002762/2024-87,3/2025,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro.",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 734.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,Impedida em 15/12/2026
BRUNO VILARINHO,2026,00046.009383/2025-88,2/2026,"Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS. PROJETO Festival Educacional MENTES INCRÍVEIS .Módulo 2 : Conteudo, Equipe,Acessibilidade e Logistica.",INDIRETA,Clínica Batista Peggy Pemble,DAE,"R$ 757.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,Está na DPLAN aguardando as mudanças no plano de trabalho pela Clínica Batista.
BRUNO VILARINHO,2026,00046.009382/2025-18,1/2026,"Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS. PROJETO Festival Educacional MENTES INCRÍVEIS Módulo 1 : Infraestrutura, Tecnologia e Espaços Físicos",INDIRETA,Clínica Batista Peggy Pemble,DAE,"R$ 750.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,Está na DPLAN aguardando as mudanças no plano de trabalho pela Clínica Batista.
CAPITÃO ROBERVAL QUEIROZ,2025,00046.002740/2024-02,5/2025,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS,INDIRETA,Comunidade Terapêutica Hebron,DAB,"R$ 724.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Sem liberação de cota orçamentária
CAPITÃO ROBERVAL QUEIROZ,2025,00046.002741/2024-72,6/2025,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS,INDIRETA,Comunidade Terapêutica Hebron,DAB,"R$ 724.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
CARLOS RIBEIRO,2026,00046.009396/2025-28,6/2026,Estruturação da Atenção Primária em Saúde (Equipamentos UBS). ESTRUTURACAO DA UBS SAO VICENTE,DIRETA,FMS,DAB,"R$ 1.507.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,Impedimento de Ordem Técnica enviado ao vereador em 11/08/2026.
CARPEJANNE GOMES,2026,00046.009408/2025-92,8/2026,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS. PROJETO TERESINA VIVA 2° EDIÇÃO.,INDIRETA,Comunidade Terapêutica Hebron,DAB,"R$ 1.513.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,Não enviada para a FMS
DANIEL CARVALHO,2026,00046.009412/2025-81,12/2026,Incremento temporário MAC para Ações Qualitativas por Estabelecimentos Contratualizados/Conveniados. Projeto Visão Infantil e Saúde Integral: Diagnóstico Oftalmológico e Avaliações Multiprofissionais com Entrega de Óculos em Teresina/PI,INDIRETA,Clínica Batista Peggy Pemble,DAB,"R$ 1.168.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,No Conselho Municipal de Saúde de Teresina para análise da Habilitação da Organização.
DEOLINDO MOURA,2025,00046.002730/2024-78,8/2025,"Realização de mutirões de exames para redução de fila de espera de regulação pela FMS: Endoscopia, Colonoscopia, Ultrassonografia e Ecocardiografia. PROJETO ACOLHER",INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 665.500,00","R$ 665.500,00","R$ 332.750,00","50,0%",Em execução,"1ª Parcela paga. Gestor emitiu Parecer Técnico da Prestação de Contas, mas NÃO LIBEROU 2ª PARCELA. Aguardando análise financeira/contábil, despesas antes da vigência do termo de Fomento. PROCESSO DE PRESTAÇÃO DE CONTAS: 00045.038554/2026-61 está no Gabinete da Presidência."
DEOLINDO MOURA,2025,00046.002729/2024-08,7/2025,"Realização de mutirões de exames para redução de fila de espera de regulação pela FMS: Endoscopia, Colonoscopia, Ultrassonografia e Ecocardiografia. PROJETO ACOLHER 2 .",INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 665.500,00","R$ 665.500,00","R$ 0,00","0,00%",Validada,Aguardando finalização da Emenda nº 8/2025 para que não ocorra sobreposição de objetos.
DEOLINDO MOURA,2026,00046.009434/2025-69,1/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. Mutirão da Visão: Um olhar para o futuro",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 1.507.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,Não foi enviada para a FMS.
EDILBERTO BORGES,2025,00046.002733/2024-94,1/2025,Estruturação da Atenção Primária em Saúde - Equipamentos Odontológicos,DIRETA,FMS,DAB,"R$ 1.335.000,00","R$ 79.120,80","R$ 79.120,80","100,00%","Finalizada, executada",
EDILBERTO BORGES,2026,00046.009442/2025-47,1/2026,Incremento temporário MAC para Ações Qualitativas por Estabelecimentos Contratualizados/Conveniados. Projeto Visão Infantil e Saúde Integral: Diagnóstico Oftalmológico e Avaliações Multiprofissionais com Entrega de Óculos em Teresina/PI ZONA NORTE,INDIRETA,Clínica Batista Peggy Pemble,DAB,"R$ 1.168.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,No Conselho Municipal de Saúde de Teresina para análise da Habilitação da Organização.
EDUARDO DRAGA ALANA,2026,00046.009455/2025-84,3/2026,"Realização de mutirões de exames para redução de fila de espera de regulação pela FMS: Endoscopia, Colonoscopia, Ultrassonografia e Ecocardiografia.",INDIRETA,Fundação para o Desenvolvimento Sustentável do Estado do Piauí – FUNDESP,DRCAA,"R$ 1.407.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,Não foi enviada para a FMS.
EDUARDO DRAGA ALANA,2026,00046.009461/2025-19,8/2026,Aquisição de Equipamentos para Atenção Especializada (UPAS/Hospitais/Maternidades/CAPS). AQUISIÇÃO DE MATERIAIS CENTRO CIRURGICO DO CENTRO MARIA IMACULADA,INDIRETA,Ação Social Arquidiocesana,DAE,"R$ 50.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
EDUARDO DRAGA ALANA,2026,00046.009462/2025-89,9/2026,Reforma e manutenção de Unidades da Atenção Especializada. REFORMA DA AMA.,INDIRETA,Associação de Amigos dos Autistas do Piauí – AMA,DAE,"R$ 49.995,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
